page_id,NAME,ID,ALIGN,EYE,HAIR,SEX,LGBTQ,ALIVE,APPEARANCES,MONTH_FA,YEAR_FA,UNIVERSE
1678,Spider-Man (Peter Parker),Secret Identity,Good Characters,Hazel Eyes,Brown Hair,Male Characters,FALSE,Living Characters,4043,August,1962,Marvel
7139,Captain America (Steven Rogers),Public Identity,Good Characters,Blue Eyes,White Hair,Male Characters,FALSE,Living Characters,3360,March,1941,Marvel
64786,"Wolverine (James \""Logan\"" Howlett)",Public Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,FALSE,Living Characters,3061,October,1974,Marvel
1868,"Iron Man (Anthony \""Tony\"" Stark)",Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,FALSE,Living Characters,2961,March,1963,Marvel
2460,Thor (Thor Odinson),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,FALSE,Living Characters,2258,November,1950,Marvel
2458,Benjamin Grimm (Earth-616),Public Identity,Good Characters,Blue Eyes,No Hair,Male Characters,FALSE,Living Characters,2255,November,1961,Marvel
2166,Reed Richards (Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,FALSE,Living Characters,2072,November,1961,Marvel
1833,Hulk (Robert Bruce Banner),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,FALSE,Living Characters,2017,May,1962,Marvel
29481,Scott Summers (Earth-616),Public Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,FALSE,Living Characters,1955,September,1963,Marvel
1837,Jonathan Storm (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,FALSE,Living Characters,1934,November,1961,Marvel
15725,Henry McCoy (Earth-616),Public Identity,Good Characters,Blue Eyes,Blue Hair,Male Characters,FALSE,Living Characters,1825,September,1963,Marvel
1863,Susan Storm (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,FALSE,Living Characters,1713,November,1961,Marvel
7823,Namor McKenzie (Earth-616),No Dual Identity,Neutral Characters,Green Eyes,Black Hair,Male Characters,FALSE,Living Characters,1528,NA,NA,Marvel
2614,Ororo Munroe (Earth-616),Public Identity,Good Characters,Blue Eyes,White Hair,Female Characters,FALSE,Living Characters,1512,May,1975,Marvel
1803,Clinton Barton (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,FALSE,Living Characters,1394,September,1964,Marvel
1396,Matthew Murdock (Earth-616),Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,FALSE,Living Characters,1338,April,1964,Marvel
55534,Stephen Strange (Earth-616),Public Identity,Good Characters,Grey Eyes,Black Hair,Male Characters,FALSE,Living Characters,1307,July,1963,Marvel
1978,Mary Jane Watson (Earth-616),No Dual Identity,Good Characters,Green Eyes,Red Hair,Female Characters,FALSE,Living Characters,1304,June,1965,Marvel
1872,John Jonah Jameson (Earth-616),No Dual Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,FALSE,Living Characters,1266,March,1963,Marvel
35350,Robert Drake (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,FALSE,Living Characters,1265,September,1963,Marvel
1557,Henry Pym (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,FALSE,Living Characters,1237,January,1962,Marvel
65255,Charles Xavier (Earth-616),Public Identity,Good Characters,Blue Eyes,Bald,Male Characters,FALSE,Deceased Characters,1233,September,1963,Marvel
1073,Warren Worthington III (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,FALSE,Living Characters,1230,September,1963,Marvel
1346,Piotr Rasputin (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,FALSE,Living Characters,1162,May,1975,Marvel
2512,Wanda Maximoff (Earth-616),Public Identity,Good Characters,Green Eyes,Brown Hair,Female Characters,FALSE,Living Characters,1161,March,1964,Marvel
1671,Nicholas Fury (Earth-616),No Dual Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,FALSE,Living Characters,1137,May,1963,Marvel
1976,Janet van Dyne (Earth-616),Public Identity,Good Characters,Blue Eyes,Auburn Hair,Female Characters,FALSE,Living Characters,1120,June,1963,Marvel
65219,Jean Grey (Earth-616),Public Identity,Good Characters,Green Eyes,Red Hair,Female Characters,FALSE,Deceased Characters,1107,September,1963,Marvel
6545,Natalia Romanova (Earth-616),Public Identity,Good Characters,Green Eyes,Red Hair,Female Characters,TRUE,Living Characters,1050,April,1964,Marvel
2223,Kurt Wagner (Earth-616),Secret Identity,Good Characters,Yellow Eyes,Blue Hair,Male Characters,FALSE,Living Characters,1047,May,1975,Marvel
2414,Vision (Earth-616),Secret Identity,Good Characters,Gold Eyes,No Hair,Male Characters,FALSE,Living Characters,1007,October,1968,Marvel
8650,May Reilly (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Grey Hair,Female Characters,FALSE,Living Characters,1000,August,1962,Marvel
2527,Katherine Pryde (Earth-616),Secret Identity,Good Characters,Hazel Eyes,Brown Hair,Female Characters,FALSE,Living Characters,886,January,1980,Marvel
1970,Carol Danvers (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,FALSE,Living Characters,881,March,1968,Marvel
37690,Jennifer Walters (Earth-616),Public Identity,Good Characters,Green Eyes,Brown Hair,Female Characters,FALSE,Living Characters,881,February,1980,Marvel
3765,Emma Frost (Earth-616),Public Identity,Neutral Characters,Blue Eyes,Brown Hair,Female Characters,FALSE,Living Characters,880,January,1980,Marvel
2312,Frank Castle (Earth-616),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,FALSE,Living Characters,878,February,1974,Marvel
1265,Luke Cage (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,FALSE,Living Characters,856,June,1972,Marvel
1677,Rogue (Anna Marie) (Earth-616),Secret Identity,Good Characters,Green Eyes,Auburn Hair,Female Characters,FALSE,Living Characters,850,NA,NA,Marvel
25222,Conan (Earth-616),No Dual Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,FALSE,Living Characters,787,October,1970,Marvel
6537,Joseph Robertson (Earth-616),No Dual Identity,Good Characters,Brown Eyes,White Hair,Male Characters,FALSE,Living Characters,752,August,1967,Marvel
1592,Pietro Maximoff (Earth-616),Public Identity,Good Characters,Blue Eyes,Silver Hair,Male Characters,FALSE,Living Characters,740,March,1964,Marvel
1818,Hercules (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,TRUE,Living Characters,725,October,1965,Marvel
1448,Victor von Doom (Earth-616),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,FALSE,Living Characters,721,July,1962,Marvel
2081,Max Eisenhardt (Earth-616),Public Identity,Neutral Characters,Grey Eyes,Bald,Male Characters,FALSE,Living Characters,709,September,1963,Marvel
2307,Elizabeth Braddock (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Purple Hair,Female Characters,TRUE,Living Characters,708,December,1976,Marvel
2556,Norrin Radd (Earth-616),Public Identity,Good Characters,Blue Eyes,Bald,Male Characters,FALSE,Living Characters,696,March,1966,Marvel
1740,Norman Osborn (Earth-616),Public Identity,Bad Characters,Blue Eyes,Auburn Hair,Male Characters,FALSE,Living Characters,692,July,1964,Marvel
8651,Eugene Thompson (Earth-616),Secret Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,FALSE,Living Characters,689,August,1962,Marvel
2009,Simon Williams (Earth-616),Public Identity,Good Characters,Red Eyes,Grey Hair,Male Characters,FALSE,Living Characters,686,October,1964,Marvel
1276,Samuel Guthrie (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,FALSE,Living Characters,657,November,1982,Marvel
15823,James Buchanan Barnes (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,FALSE,Living Characters,641,March,1941,Marvel
1680,Remy LeBeau (Earth-616),Secret Identity,Good Characters,Black Eyeballs,Brown Hair,Male Characters,FALSE,Living Characters,636,July,1990,Marvel
1866,Daniel Rand (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,FALSE,Living Characters,618,May,1974,Marvel
32498,Nathan Summers (Earth-616),Public Identity,Neutral Characters,Blue Eyes,White Hair,Male Characters,FALSE,Living Characters,612,January,1986,Marvel
1772,Elizabeth Brant (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,FALSE,Living Characters,599,September,1963,Marvel
1896,Richard Jones (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,FALSE,Living Characters,590,May,1962,Marvel
1496,Edwin Jarvis (Earth-616),No Dual Identity,Good Characters,Blue Eyes,White Hair,Male Characters,FALSE,Living Characters,567,November,1964,Marvel
1802,Alexander Summers (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,FALSE,Living Characters,558,March,1969,Marvel
1811,Patricia Walker (Earth-616),Secret Identity,Good Characters,Blue Eyes,Red Hair,Female Characters,FALSE,Living Characters,550,November,1944,Marvel
1836,Human Torch (Android) (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,FALSE,Living Characters,548,October,1939,Marvel
2042,Loki Laufeyson (Earth-616),No Dual Identity,Neutral Characters,Green Eyes,Black Hair,Genderfluid Characters,TRUE,Living Characters,532,August,1949,Marvel
